year_description,borough,geography_name,geography_id,data_value,notes
2014,Bronx,Highbridge/South Concourse,3,81.4,
2014,Bronx,Kingsbridge Heights/Mosholu,5,82.7,
2014,Bronx,Morrisania/East Tremont,2,74.4,
2014,Bronx,Mott Haven/Hunts Point,1,74.3,
2014,Bronx,Pelham Parkway,9,86.2,
2014,Bronx,Riverdale/Kingsbridge,6,90.8,
2014,Bronx,Soundview/Parkchester,7,81.3,
2014,Bronx,Throgs Neck/Co-op City,8,93.2,
2014,Bronx,University Heights/Fordham,4,81.0,
2014,Bronx,Williamsbridge/Baychester,10,86.6,
2014,Brooklyn,Bay Ridge,20,89.3,
2014,Brooklyn,Bedford Stuyvesant,13,76.8,
2014,Brooklyn,Bensonhurst,21,93.7,
2014,Brooklyn,Borough Park,22,89.4,
2014,Brooklyn,Brooklyn Heights/Fort Greene,12,82.9,
2014,Brooklyn,Brownsville/Ocean Hill,26,70.8,
2014,Brooklyn,Bushwick,14,78.6,
2014,Brooklyn,Coney Island,23,89.7,
2014,Brooklyn,East Flatbush,27,84.4,
2014,Brooklyn,East New York/Starret City,15,81.7,
2014,Brooklyn,Flatbush,24,81.1,
2014,Brooklyn,Flatlands/Canarsie,28,85.9,
2014,Brooklyn,N. Crown Heights/Prospect Heights,18,76.6,
2014,Brooklyn,Park Slope/Carroll Gardens,16,90.7,
2014,Brooklyn,Sheepshead Bay/Gravesend,25,93.7,
2014,Brooklyn,South Crown Heights,19,81.9,
2014,Brooklyn,Sunset Park,17,84.7,
2014,Brooklyn,Williamsburg/Greenpoint,11,85.8,
2014,Manhattan,Central Harlem,36,86.9,
2014,Manhattan,Chelsea/Clinton/Midtown,31,94.6,
2014,Manhattan,East Harlem,37,87.6,
2014,Manhattan,Greenwich Village/Financial District,29,96.3,
2014,Manhattan,Lower East Side/Chinatown,30,88.9,
2014,Manhattan,Morningside Heights/Hamilton Heights,35,85.9,
2014,Manhattan,Stuyvesant Town/Turtle Bay,32,95.2,
2014,Manhattan,Upper East Side,34,97.3,
2014,Manhattan,Upper West Side,33,93.9,
2014,Manhattan,Washington Heights/Inwood,38,90.2,
2014,Queens,Astoria,39,92.7,
2014,Queens,Bayside/Little Neck,49,98.6,
2014,Queens,Bellerose/Rosedale,51,92.9,
2014,Queens,Elmhurst/Corona,42,92.3,
2014,Queens,Flushing/Whitestone,45,92.5,
2014,Queens,Forest Hills/Rego Park,44,98.0,
2014,Queens,Hillcrest/Fresh Meadows,46,94.1,
2014,Queens,Howard Beach/South Ozone Park,48,92.1,
2014,Queens,Jackson Heights,41,91.0,
2014,Queens,Jamaica,50,86.7,
2014,Queens,Kew Gardens/Woodhaven,47,90.4,
2014,Queens,Middle Village/Ridgewood,43,93.5,
2014,Queens,Rockaways,52,81.6,
2014,Queens,Sunnyside/Woodside,40,91.8,
2014,Staten Island,Mid Island,54,96.3,
2014,Staten Island,North Shore,53,86.7,
2014,Staten Island,South Shore,55,99.3,
