year_description,borough,geography_name,geography_id,data_value,notes
2010,Bronx,Belmont and East Tremont (CD6),206,5,
2010,Bronx,Fordham and University Heights (CD5),205,5,
2010,Bronx,Highbridge and Concourse (CD4),204,5,
2010,Bronx,Hunts Point and Longwood (CD2),202,5,
2010,Bronx,Kingsbridge Heights and Bedford (CD7),207,4,
2010,Bronx,Morris Park and Bronxdale (CD11),211,3,
2010,Bronx,Morrisania and Crotona (CD3),203,5,
2010,Bronx,Mott Haven and Melrose (CD1),201,5,
2010,Bronx,Parkchester and Soundview (CD9),209,4,
2010,Bronx,Riverdale and Fieldston (CD8),208,1,
2010,Bronx,Throgs Neck and Co-op City (CD10),210,2,
2010,Bronx,Williamsbridge and Baychester (CD12),212,4,
2010,Brooklyn,Bay Ridge and Dyker Heights (CD10),310,1,
2010,Brooklyn,Bedford Stuyvesant (CD3),303,5,
2010,Brooklyn,Bensonhurst (CD11),311,3,
2010,Brooklyn,Borough Park (CD12),312,3,
2010,Brooklyn,Brownsville (CD16),316,5,
2010,Brooklyn,Bushwick (CD4),304,5,
2010,Brooklyn,Coney Island (CD13),313,3,
2010,Brooklyn,Crown Heights and Prospect Heights (CD8),308,5,
2010,Brooklyn,East Flatbush (CD17),317,5,
2010,Brooklyn,East New York and Starrett City (CD5),305,4,
2010,Brooklyn,Flatbush and Midwood (CD14),314,3,
2010,Brooklyn,Flatlands and Canarsie (CD18),318,4,
2010,Brooklyn,Fort Greene and Brooklyn Heights (CD2),302,3,
2010,Brooklyn,Greenpoint and Williamsburg (CD1),301,4,
2010,Brooklyn,Park Slope and Carroll Gardens (CD6),306,2,
2010,Brooklyn,Sheepshead Bay (CD15),315,2,
2010,Brooklyn,South Crown Heights and Lefferts Gardens (CD9),309,4,
2010,Brooklyn,Sunset Park (CD7),307,2,
2010,Manhattan,Central Harlem (CD10),110,5,
2010,Manhattan,Clinton and Chelsea (CD4),104,3,
2010,Manhattan,East Harlem (CD11),111,4,
2010,Manhattan,Financial District (CD1),101,1,
2010,Manhattan,Greenwich Village and Soho (CD2),102,2,
2010,Manhattan,Lower East Side and Chinatown (CD3),103,2,
2010,Manhattan,Midtown (CD5),105,2,
2010,Manhattan,Morningside Heights and Hamilton Heights (CD9),109,4,
2010,Manhattan,Stuyvesant Town and Turtle Bay (CD6),106,1,
2010,Manhattan,Upper East Side (CD8),108,1,
2010,Manhattan,Upper West Side (CD7),107,2,
2010,Manhattan,Washington Heights and Inwood (CD12),112,3,
2010,Queens,Bayside and Little Neck (CD11),411,1,
2010,Queens,Elmhurst and Corona (CD4),404,4,
2010,Queens,Flushing and Whitestone (CD7),407,1,
2010,Queens,Hillcrest and Fresh Meadows (CD8),408,1,
2010,Queens,Jackson Heights (CD3),403,3,
2010,Queens,Jamaica and Hollis (CD12),412,4,
2010,Queens,Kew Gardens and Woodhaven (CD9),409,2,
2010,Queens,Long Island City and Astoria (CD1),401,3,
2010,Queens,Queens Village (CD13),413,3,
2010,Queens,Rego Park and Forest Hills (CD6),406,1,
2010,Queens,Ridgewood and Maspeth (CD5),405,2,
2010,Queens,Rockaway and Broad Channel (CD14),414,2,
2010,Queens,South Ozone Park and Howard Beach (CD10),410,2,
2010,Queens,Woodside and Sunnyside (CD2),402,4,
2010,Staten Island,South Beach and Willowbrook (CD2),502,1,
2010,Staten Island,St. George and Stapleton (CD1),501,1,
2010,Staten Island,Tottenville and Great Kills (CD3),503,1,
